id,title,description,availability,condition,price,link,image_link,brand,product_type,google_product_category
AG-SE-ESSENTIEL,Site Express Essentiel — Site vitrine 1 page,"Site vitrine premium d'une page, design sur mesure, optimise mobile et rapide. Formulaire de contact, Google Maps, SEO de base inclus. Livraison en 5 jours. Paiement unique, possible en 4x sans frais via PayPal.",in stock,new,490.00 EUR,https://alliancegroupe-inc.com/sites-express/,https://alliancegroupe-inc.com/wp-content/themes/alliance-groupe-theme/assets/images/produits/produit-essentiel.jpg,Alliance Groupe,Sites Express,499968
AG-SE-PRO,Site Express Pro — Site 6 pages + SEO,"Site professionnel jusqu'a 6 pages avec design premium sur mesure. Optimisation SEO Google, blog / actualites, prise de rendez-vous en ligne et integration reseaux sociaux. Livraison en 8 jours. Paiement unique, possible en 4x sans frais via PayPal.",in stock,new,890.00 EUR,https://alliancegroupe-inc.com/sites-express/,https://alliancegroupe-inc.com/wp-content/themes/alliance-groupe-theme/assets/images/produits/produit-pro.jpg,Alliance Groupe,Sites Express,499968
AG-SE-BOUTIQUE,Site Express Boutique — E-commerce WooCommerce,"Boutique en ligne complete sous WooCommerce, jusqu'a 30 produits integres. Paiement en ligne (carte, PayPal), design premium, SEO, gestion des stocks et des commandes, formation incluse. Livraison en 12 jours. Paiement unique, possible en 4x sans frais via PayPal.",in stock,new,1490.00 EUR,https://alliancegroupe-inc.com/sites-express/,https://alliancegroupe-inc.com/wp-content/themes/alliance-groupe-theme/assets/images/produits/produit-boutique.jpg,Alliance Groupe,Sites Express,499968
AG-MAINT-SERENITE,Maintenance Serenite — 29 EUR par mois,"Formule de maintenance mensuelle : hebergement, nom de domaine, sauvegardes automatiques et securite du site. Sans engagement. Abonnement mensuel de 29 EUR.",in stock,new,29.00 EUR,https://alliancegroupe-inc.com/maintenance/,https://alliancegroupe-inc.com/wp-content/themes/alliance-groupe-theme/assets/images/produits/produit-serenite.jpg,Alliance Groupe,Maintenance,499968
AG-MAINT-CROISSANCE,Maintenance Croissance — 59 EUR par mois,"Formule de maintenance mensuelle : tout le pack Serenite, plus 30 minutes de modifications par mois et le suivi analytics de votre trafic. Abonnement mensuel de 59 EUR.",in stock,new,59.00 EUR,https://alliancegroupe-inc.com/maintenance/,https://alliancegroupe-inc.com/wp-content/themes/alliance-groupe-theme/assets/images/produits/produit-croissance.jpg,Alliance Groupe,Maintenance,499968
AG-MAINT-PERFORMANCE,Maintenance Performance — 99 EUR par mois,"Formule de maintenance mensuelle haut de gamme : tout le pack Croissance, plus 1 heure de modifications par mois, optimisation SEO continue et rapport de performance. Abonnement mensuel de 99 EUR.",in stock,new,99.00 EUR,https://alliancegroupe-inc.com/maintenance/,https://alliancegroupe-inc.com/wp-content/themes/alliance-groupe-theme/assets/images/produits/produit-performance.jpg,Alliance Groupe,Maintenance,499968
AG-TPL-AVOCAT,Theme WordPress Avocat — Pack Premium,"Theme WordPress premium pour Avocat. Cabinet d'avocats : design navy et champagne, pages expertises, honoraires et prise de contact conforme a la deontologie. Notre design le plus abouti, polices premium et animations, installation guidee. Paiement unique de 69 EUR, sans abonnement. Livraison du fichier ZIP pret a installer par email apres paiement.",in stock,new,69.00 EUR,https://alliancegroupe-inc.com/wordpress-avocat/,https://alliancegroupe-inc.com/wp-content/themes/alliance-groupe-theme/assets/images/templates/avocat/accueil-jour.jpg,Alliance Groupe,Themes WordPress,499968
AG-TPL-RESTAURANT,Theme WordPress Restaurant — Pack Premium,"Theme WordPress premium pour Restaurant. Restaurant : design or et noir, carte du menu, galerie, reservation en ligne et horaires. Notre design le plus abouti, polices premium et animations, installation guidee. Paiement unique de 69 EUR, sans abonnement. Livraison du fichier ZIP pret a installer par email apres paiement.",in stock,new,69.00 EUR,https://alliancegroupe-inc.com/wordpress-restaurant/,https://alliancegroupe-inc.com/wp-content/themes/alliance-groupe-theme/assets/images/og-banner.png,Alliance Groupe,Themes WordPress,499968
AG-TPL-ARTISAN,Theme WordPress Artisan — Pack Premium,"Theme WordPress premium pour Artisan. Artisan et batiment : design bronze et noir, presentation des prestations, realisations et demande de devis. Notre design le plus abouti, polices premium et animations, installation guidee. Paiement unique de 69 EUR, sans abonnement. Livraison du fichier ZIP pret a installer par email apres paiement.",in stock,new,69.00 EUR,https://alliancegroupe-inc.com/wordpress-artisan/,https://alliancegroupe-inc.com/wp-content/themes/alliance-groupe-theme/assets/images/templates/artisan/electricien.jpg,Alliance Groupe,Themes WordPress,499968
AG-TPL-COACH,Theme WordPress Coach — Pack Premium,"Theme WordPress premium pour Coach. Coach sportif et mental : design bleu canard et navy, formats de seance, reservation et temoignages. Notre design le plus abouti, polices premium et animations, installation guidee. Paiement unique de 69 EUR, sans abonnement. Livraison du fichier ZIP pret a installer par email apres paiement.",in stock,new,69.00 EUR,https://alliancegroupe-inc.com/wordpress-coach/,https://alliancegroupe-inc.com/wp-content/themes/alliance-groupe-theme/assets/images/templates/coach/accueil.jpg,Alliance Groupe,Themes WordPress,499968
